






min: -2085773352414335756,max: -2085588884973598661
min: -2085588884973598660,max: -2085404417532861565
min: -2085404417532861564,max: -2085219950092124469
min: -2085219950092124468,max: -2085035482651387373
min: -2085035482651387372,max: -2084851015210650277
min: -2084851015210650276,max: -2084666547769913181
min: -2084666547769913180,max: -2084482080329176089
min: 5736937406923677352,max: 5737121874364414447
min: 5737121874364414448,max: 5737306341805151543
min: 5737306341805151544,max: 5737490809245888639
min: 5737490809245888640,max: 5737675276686625735
min: 5737675276686625736,max: 5737859744127362831
min: 5737859744127362832,max: 5738044211568099927
min: 5738044211568099928,max: 5738228679008837023
min: 5738228679008837024,max: 5738413146449574119
min: 5738413146449574120,max: 5738597613890311215
min: 5738597613890311216,max: 5738782081331048307
min: 2038365220144910572,max: 2038549687585647667
min: 2038549687585647668,max: 2038734155026384763
min: 2038734155026384764,max: 2038918622467121859
min: 2038918622467121860,max: 2039103089907858955
min: 2039103089907858956,max: 2039287557348596051
min: 2039287557348596052,max: 2039472024789333147
min: 2039472024789333148,max: 2039656492230070243
min: 2039656492230070244,max: 2039840959670807339
min: 2039840959670807340,max: 2040025427111544435
min: 2040025427111544436,max: 2040209894552281527
min: -1223019132086939636,max: -1222834664646202541
min: -1222834664646202540,max: -1222650197205465445
min: -1222650197205465444,max: -1222465729764728349
min: -1222465729764728348,max: -1222281262323991253
min: -1222281262323991252,max: -1222096794883254157
min: -1222096794883254156,max: -1221912327442517061
min: -1221912327442517060,max: -1221727860001779965
min: -1221727860001779964,max: -1221543392561042869
min: -1221543392561042868,max: -1221358925120305773
min: -1221358925120305772,max: -1221174457679568681
min: -5622567593666669696,max: -5622383126225932601
min: -5622383126225932600,max: -5622198658785195505
min: -5622198658785195504,max: -5622014191344458409
min: -5622014191344458408,max: -5621829723903721313
min: -5621829723903721312,max: -5621645256462984217
min: -5621645256462984216,max: -5621460789022247121
min: -5621460789022247120,max: -5621276321581510025
min: -5621276321581510024,max: -5621091854140772929
min: -5621091854140772928,max: -5620907386700035833
